Wall time,Step,Value
1681947116,84970,32.88102341
1681947121,84980,32.30487442
1681947144,85030,32.08102036
1681947163,85070,32.1401825
1681947168,85080,31.40369415
1681947239,85230,32.2816391
1681947386,85540,31.58994675
1681947443,85660,32.34017563
1681947484,85730,32.05674362
1681947508,85780,32.25087357
1681947574,85920,31.93127632
1681947617,86010,31.48307991
1681947688,86160,32.86954498
1681947740,86270,32.18842316
1681947773,86340,31.58234787
1681947778,86350,31.93921471
1681947792,86380,31.9012928
1681947820,86440,31.92339516
1681948000,86820,32.37952805
1681948014,86850,32.54764175
1681948024,86870,31.95730782
1681948038,86900,32.10648727
1681948043,86910,32.55543137
1681948062,86950,31.89480209
1681948213,87270,32.10283279
1681948279,87410,32.60876465
1681948415,87680,31.74031067
1681948444,87740,31.99574852
1681948463,87780,32.1998558
1681948548,87960,31.95737076
1681948571,88010,32.63602066
1681948642,88160,31.68222618
1681948657,88190,32.045681
1681948671,88220,32.03006363
1681948770,88430,32.76948547
1681948822,88540,31.8626194
1681948884,88670,32.11587524
1681948888,88680,31.89622688
1681948936,88780,32.51441574
1681948950,88810,32.06058502
1681948969,88850,32.27340698
1681949049,89020,31.97759056
1681949059,89040,31.95199203
1681949073,89070,32.44546509
1681949172,89280,31.97002983
1681949182,89300,32.10250473
1681949206,89350,31.85106277
1681949266,89460,32.20669937
1681949304,89540,31.89265251
1681949323,89580,32.16944504
1681949403,89750,33.0150528
1681949432,89810,31.95269012
1681949479,89910,32.5304184
1681949488,89930,32.00288391
1681949517,89990,31.4814949
1681949540,90040,31.39504814
1681949564,90090,31.82741737
1681949578,90120,31.78544617
1681949649,90270,32.26584244
1681949654,90280,31.88034248
1681949782,90550,32.39027405
1681949820,90630,32.10487366
1681949867,90730,32.25261688
1681949881,90760,32.74263763
1681949919,90840,32.25400925
1681950019,91050,31.98095512
1681950047,91110,31.69101143
1681950099,91220,32.49208069
1681950104,91230,32.85587311
1681950264,91550,31.46532059
